Name,Specialty,Location,Phone,Email,Vbac,Purdah,Interventions,Presence,Feedback,SentimentScore
সাম্মি লিওনার্দ কেয়া,Obstetrics & Gynecology,"রাজশাহী, মেডিপ্যাথ",,,হ্যাঁ,হ্যা আলহামদুলিল্লাহ ,জানি না,"ডাক্তার এসে আমার নরমাল ডেলিভারির প্রসেস করেন, তারপর বাচ্চা পেটে পায়খানা করেছে দেখে সিজার করতে হয় ","ডাক্তার এসে আমার নরমাল ডেলিভারির প্রসেস করেন, তারপর বাচ্চা পেটে পায়খানা করেছে দেখে সিজার করতে হয় ",0
Dr.nahid yousuf sweety,Obstetrics & Gynecology,"রাজশাহী, Jomjom clinic, laxmipur, Rajshahi",,,না,Mtamti,Jana ny,No info,No info,0
ডা আতিয়া সুলতানা,Obstetrics & Gynecology,"রাজশাহী, আল আরাফাহ ক্লিনিক",,,হ্যাঁ,No info,জানা নেই,জানা নেই,জানা নেই,0
আতিয়া সুলতানা,Obstetrics & Gynecology,"রাজশাহী, মিশন হাসপাতাল,রাজশাহী। তাছাড়া,ঢাকা,নওগাঁতে তিনি রোগী দেখেন।",,,জানা নেই,জানিনা,জানিনা,জানিনা,জানিনা,0
Dr Roksana Parveen,Obstetrics & Gynecology,"রাজশাহী, Medipath, Mission hospital, Islami bank medical hospital",,,জানা নেই,জানা নেই,জানা নেই,জ্বী উনি উপস্থিত থাকবেন সেই অপশন আছে। তবে আমি অন্য ডাক্তারের আন্ডারে ছিলাম।,জ্বী উনি উপস্থিত থাকবেন সেই অপশন আছে। তবে আমি অন্য ডাক্তারের আন্ডারে ছিলাম।,0
Dr.Atia sultana chhabi,Obstetrics & Gynecology,"রাজশাহী, Mission hospital, medipath, al arafa clinic",,,হ্যাঁ,Jana nai,Jana nai,Jana nai,Jana nai,0
Dr. Jebunnesa Anney,Obstetrics & Gynecology,"রাজশাহী, Micropath diagnostic center",,,জানা নেই,No info,জানা নেই ,No info,No info,0
ডা হাসিনা ফেরদৌস,Obstetrics & Gynecology,"রংপুর, আপডেট ডায়াগনস্টিক সেন্টার",,,জানা নেই,পর্দা তেমন হয় না। ,প্রয়োজন অনুযায়ী ,না। পরে ডিউটি সময়ে এসেছেন।  মেডিকেল এর ডাক্তার দের বলেছিলেন। ,না। পরে ডিউটি সময়ে এসেছেন।  মেডিকেল এর ডাক্তার দের বলেছিলেন। ,0
Dr. Mumtahina,Obstetrics & Gynecology,"লক্ষ্মীপুর, Safe diagnostics,hospital Road, Lakshmipur",,,জানা নেই,Yes,I don't know ,Yes,Yes,0
রেজওয়ানা মির্জা,Obstetrics & Gynecology,"সিলেট, মাদার কেয়ার সিলেট,",,,জানা নেই,জি আলহামদুলিল্লাহ ,দেওয়ার চেষ্টা করসিলেন কিন্তু আমি যেহেতু রৌদ্রময়ই তে প্রিনেটাল করসিলাম তাই আমি দিতে দেইনি। তবে এপিসোটমি করার সময় আমি না করার আগেই কেটে ফেলেন আর আমি আগে বলতে বুলে গেসি অই সময় উনারা বেবি বের করার পর দুইটা ইনজেকসন দিসিলেন জদিও আমার বেবি তিন কেজি ছিল মাত্র  ,আমার সময় ছিলেন না পরে আসছিলেন  কিন্তু অন্য একজন ডিউটি ডক্টর ছিলেন।এখান কার নারস রা খুব সাহায্য করার চেষ্টা করেন,আমার সময় ছিলেন না পরে আসছিলেন  কিন্তু অন্য একজন ডিউটি ডক্টর ছিলেন।এখান কার নারস রা খুব সাহায্য করার চেষ্টা করেন,0
ডা:রেজওয়ানা মির্জা,Obstetrics & Gynecology,"সিলেট, মাদার কেয়ার হসপিটাল, সিলেট",,,জানা নেই,জি ,প্রয়োজন হলে ,লেবার রুমে ছিলেন না,লেবার রুমে ছিলেন না,0
Professor Dr. Rabeya Begum,Obstetrics & Gynecology,"সিলেট, Ibn sina hospital sylhet Ltd. Subhanighat point, sylhet",,,হ্যাঁ,জি ,যত টুকু জানি শুধু প্রয়োজন হলেই দেন।,আমার সময় ম্যাডাম উপস্থিত ছিলেন যদিও শেষ পর্যন্ত সিজারে যাওয়া লেগেছে.. ম্যাডাম নিজে উপস্থিত থাকতে না পারলে ফ্ন এ সব সময় যোগাযোগ রাখেন এবং উনার কথা ছাড়া কেউ হাত ও দেয় না।,আমার সময় ম্যাডাম উপস্থিত ছিলেন যদিও শেষ পর্যন্ত সিজারে যাওয়া লেগেছে.. ম্যাডাম নিজে উপস্থিত থাকতে না পারলে ফ্ন এ সব সময় যোগাযোগ রাখেন এবং উনার কথা ছাড়া কেউ হাত ও দেয় না।,0
Kashefa Nazneen,Obstetrics & Gynecology,"Dhaka, Square Hospital, Panthapath",,,জানা নেই,জানিনা,"হস্পিটালের নিয়ম অনুযায়ী, হস্পিটালে এসব ব্যাপারে আমার মন মত করতে পারব এরকম সঠিক ইনফরমেসান পাইনি। তাই শুধু রেগুলার ডক্টর এর আন্ডারে থাকার জন্য ওনাকে চুজ করেছি। কারণ উনি আমাকে নরমাল ডেলিভারি এর জন্য এসিস্ট করেছেন প্রেগনেন্সি এর পুরো সময়।",আমি বাসায় করেছি নার্স এর হেল্প নিয়ে। শুধু রেগুলার ডক্টর এর আন্ডারে থাকার জন্য ওনাকে চুজ করেছি। কারণ উনি আমাকে নরমাল ডেলিভারি এর জন্য এসিস্ট করেছেন প্রেগনেন্সি এর পুরো সময়।,আমি বাসায় করেছি নার্স এর হেল্প নিয়ে। শুধু রেগুলার ডক্টর এর আন্ডারে থাকার জন্য ওনাকে চুজ করেছি। কারণ উনি আমাকে নরমাল ডেলিভারি এর জন্য এসিস্ট করেছেন প্রেগনেন্সি এর পুরো সময়।,0
Dr Nazma,Obstetrics & Gynecology,"Dhaka, Hi tech hospital",,,জানা নেই,No info,Medical intervention ,No info,No info,0
ডাঃ ফরহাত মহল,Obstetrics & Gynecology,"সিলেট, মাদার কেয়ার ক্লিনিক, পুরাতন মেডিকেল রোড, সিলেট",,,হ্যাঁ,জ্বি,শুধু প্রয়োজন অনুযায়ী,"আমার vbac চেষ্টার পর সিজার হয়, তবে উনি সকল রোগীর নরমাল ডেলিভারিতে থাকার চেষ্টা করেন","আমার vbac চেষ্টার পর সিজার হয়, তবে উনি সকল রোগীর নরমাল ডেলিভারিতে থাকার চেষ্টা করেন",0
সেলিনা পারভেজ,Obstetrics & Gynecology,"কুমিল্লা, কুমিল্লা পিপলস হসপিটাল, টমসমব্রিজ,কুমিল্লা",,,হ্যাঁ,জি অনেক,প্রয়োজন ছারা কিছুই করেন না। শুধু অপেক্ষা করতে বলেন,রোগীর বেপারে খুবই আন্তরিক থাকেন।তবে রাত ১২ টা হওয়ায় সরাসরি ছিলেন না কিন্তু ফোনে খবর নিতেন। ,রোগীর বেপারে খুবই আন্তরিক থাকেন।তবে রাত ১২ টা হওয়ায় সরাসরি ছিলেন না কিন্তু ফোনে খবর নিতেন। ,0
Dr Jahanara Begum Shikha,Obstetrics & Gynecology,"Chattogram, Chevron Shantibag,Parkview Hospital Ctg ltd",,,জানা নেই,Don't know,Applies the first one,She was present,She was present,0
ডা: রিতা,Obstetrics & Gynecology,"ঢাকা, আশুলিয়া নারী ও শিশু হাসপাতাল, আশুলিয়া",,,হ্যাঁ,"মোটামুটি, তবে লেবার রুমে পুরুষ এলাউড না","জানা নেই, তবে আমাকে দিয়েছেন ","তার এক্সপার্ট টিম ছিলেন, তারাই থাকেন, তিনি শুধু দেখে যান। ","তার এক্সপার্ট টিম ছিলেন, তারাই থাকেন, তিনি শুধু দেখে যান। ",0
মৌসুমী জাহান,Obstetrics & Gynecology,"Dhaka, মেরী স্টোপস",,,হ্যাঁ,জ্বি ,জানিনা,চেষ্টা করেন,চেষ্টা করেন,0
ফাহিমা আফরোজ,Obstetrics & Gynecology,"ঢাকা, Ahsania Mission Cancer and General Hospital",,,জানা নেই,No info,প্রয়োজনে ব্যবহার করেন,"আমার সি সেকশন হয়েছে।উনি উপস্হিত ছিলেন না,তবে উনি সর্বদা পরামর্শ দিয়েছেন অন্য ডাক্তারদের।আমার ইমার্জেন্সি সি সেকশন করানো লেগেছে। ওনি রাত ৩ টায় এসে সি সেকশন করিয়েছেন।এর আগে আমি প্রায় ২৭ ঘন্টা নরমাল ডেলিভারীর জন্য চেষ্টা করেছি।","আমার সি সেকশন হয়েছে।উনি উপস্হিত ছিলেন না,তবে উনি সর্বদা পরামর্শ দিয়েছেন অন্য ডাক্তারদের।আমার ইমার্জেন্সি সি সেকশন করানো লেগেছে। ওনি রাত ৩ টায় এসে সি সেকশন করিয়েছেন।এর আগে আমি প্রায় ২৭ ঘন্টা নরমাল ডেলিভারীর জন্য চেষ্টা করেছি।",0
Dr. Chowdhury Taslima Nasrin,Obstetrics & Gynecology,"Dhaka, Labaid, Uttara bramch -2 (gawsul azam Avenue, uttara, dhaka)",,,জানা নেই,I don't know as I didn’t have to face any situation regarding cover. ,"আমাকে দেননি যেহেতু আমি বলেছিলাম আমি চাই না। সাধারণত লাগলে দেয়,  জোর করেন না। ",Yes. Don't know about all patient. ,Yes. Don't know about all patient. ,0
Dr Bilkis Mahmuda,Obstetrics & Gynecology,"Dhaka, Alliance hospital,Shaymoli",,,জানা নেই,জানা নেই,জানা নেই তবে এপিসিওটমি লেগেছে,আমার জা এর সময় ছিলেন,আমার জা এর সময় ছিলেন,0
ডক্টর ফাতেমা ইয়াসমিন,Obstetrics & Gynecology,"ঢাকা, ইউনিকো হসপিটাল গ্রীন রোড ঢাকা",,,হ্যাঁ,অবশ্যই ,শুধু প্রয়োজনেই করে থাকেন যা করার,হ্যা আলহামদুলিল্লাহ ,হ্যা আলহামদুলিল্লাহ ,0
ডাঃ সারাবান তহুরা,Obstetrics & Gynecology,"ঢাকা, আলোক মাদার এন্ড চাইল্ড কেয়ার হাসপাতাল",,,জানা নেই,জ্বি,আপডেটেড গাইডলাইন অনুযায়ী ,জ্বি,জ্বি,0
ডাঃ ফাতেমা ইয়াসমিন,Obstetrics & Gynecology,"ঢাকা, Unico Hospital PLC,Green road,Dhaka",,,হ্যাঁ,জ্বি,শুধু প্রয়োজন হলে ব্যবহার করেন,"জ্বি,আলহামদুলিল্লাহ ","জ্বি,আলহামদুলিল্লাহ ",0
নাসরিন আক্তার মুক্তা,Obstetrics & Gynecology,"ফেনী, কমপেক্ট ডায়াগনস্টিক সেন্টার,ফেনী।",,,জানা নেই,"আমি আমার মতো করে মা ও শিশুতে ম্যানেজ করেছি,উনাকে বললে হেল্প করতে প্স্রে।","পিটোসিন একদম শেষে দেয়া প্রেফার করেন।আর মেডিকেল টিমে যারা আছে এর মধ্যে কেউ এপিশিওটমি নিয়মমাফিক দেয় আবার কেউ টিয়ার।যেমন আমি ডেলিভারীর আগে একজনের সাথে কথা বলায় বলছিল এপিশিওটমি দিবে,ডেলিভারি টাইমে সে না থাকায় অন্য একজন আমার টিয়ার হতে দেয়।সেকেন্ড ডিগ্রি।","না,উনি উপস্থিত কম থাকেন।মা ও শিশুতে রেফার করেন।উনি সরকারী স্বাস্থ্যকেন্দ্রের মেডিকেল অফিসার।সব কেসে উপস্থিত থাকতে পারেন না।মেডিকেল টিম আছে তারাও সাপোর্টিভ অনেক।","না,উনি উপস্থিত কম থাকেন।মা ও শিশুতে রেফার করেন।উনি সরকারী স্বাস্থ্যকেন্দ্রের মেডিকেল অফিসার।সব কেসে উপস্থিত থাকতে পারেন না।মেডিকেল টিম আছে তারাও সাপোর্টিভ অনেক।",0
ডাঃ ইসরাত শারমিন,Obstetrics & Gynecology,"দিনাজপুর, পপুলার ডায়াগনস্টিক সেন্টার, এক নং উপশহর, ফুলবাড়ী বাসস্ট্যান্ড, সদর, দিনাজপুর",,,জানা নেই,হ্যাঁ ,শুধু প্রয়োজন হলেই,No info,No info,0
Dr. Fatema yasmin,Obstetrics & Gynecology,"Dhaka, Unico hospital, green road",,,হ্যাঁ,Yes,If necessary | She tries to keep the medical interventions minimalistic and tries for the labor and progress to happen naturally.,"Yes | Yes, she stays with the patients although I had to go for an emergency c-section.","Yes | Yes, she stays with the patients although I had to go for an emergency c-section.",0
Dr.Muna Salima Jahan,Obstetrics & Gynecology,"Dhaka, Green life medical college and hospital,Green road",,,জানা নেই,জ্বি আলহামদুলিল্লাহ,প্রয়োজন হলে,"না, উনি একবার ভিজিট এ আসেন ","না, উনি একবার ভিজিট এ আসেন ",0
ডাঃ নাসিমা বেগম,Obstetrics & Gynecology,"ঢাকা, মনোয়ারা হসপিটাল প্রাইভেট লিমিটেড, সিদ্ধেশ্বরী রোড, ঢাকা",,,হ্যাঁ,হ্যাঁ,প্রয়োজন হলে দেন (তবে পিটোসিন ব্যবহারে তুলনামূলক বেশি আগ্রহী। রোগী নিতে না চাইলে অপেক্ষা করেন। আর এপিশিওটমি শুধু প্রয়োজন হলেই দেন।),"হ্যাঁ, ছিলেন। সব রোগীর ক্ষেত্রেই থাকেন।","হ্যাঁ, ছিলেন। সব রোগীর ক্ষেত্রেই থাকেন।",0
Sultana rowshan,Obstetrics & Gynecology,"Chittagong, National hospital, Al afiyah hospital",,,জানা নেই,Ji niqabi,Updated guideline follow koren,Ji thaken ,Ji thaken ,0
ডক্টর জান্নাতুল ফেরদৌস,Obstetrics & Gynecology,"টাঙ্গাইল, আশা অফিস সংলগ্ন, মিল্কভিটা রোড, দেওলা",,,হ্যাঁ,জি,প্রয়োজন হলেই কেবল ব্যবহার করেন। ,জি,জি,0
Dr Tahera Akter,Obstetrics & Gynecology,"Chattogram, Fatickchari Clinic, Nazirhat,Chattogram",,,জানা নেই,জি।খুব সাপোর্টিভ আলহামদুলিল্লাহ। ,এপিশিওটমিরটা জানা নেই।তবে পিটোসিন এসব অহেতুক দেন না।আমাকে দেননি।,যদি অটিতে না থাকেন তাহলে থাকেন।আমার সময় ছিলেন।আলহামদুলিল্লাহ। ,যদি অটিতে না থাকেন তাহলে থাকেন।আমার সময় ছিলেন।আলহামদুলিল্লাহ। ,0
Dr. Jesmin Ara,Obstetrics & Gynecology,"Dhaka, Exim Bank Hospital, Kajipara, Mirpur",,,না,"নিজে পর্দা করেন না, তবে পর্দার সাথে ডেলিভারিতে সমস্যা হয়নি কারো",সবই,"জ্বি, চেষ্টা করেন থাকার।","জ্বি, চেষ্টা করেন থাকার।",0
Dr. Summi Leunard Keya,Obstetrics & Gynecology,"Afsana Sarmin, LabAid, Rajshahi",,,হ্যাঁ,"জ্বি | জ্বি, উনি নিজেও পর্দা করেন।",প্রয়োজন হলে করেন | জি,জ্বি | জি,জ্বি | জি,0
ইশরাত শারমিন বর্না এবং তহুরা আক্তার,Obstetrics & Gynecology,"বরিশাল, রাহাত আনোয়ার হাসপাতাল",,,হ্যাঁ,হ্যা,আপডেটেড গাইডলাইন মানেন তবে রোগীর ফিজিওলজিক্যাল কন্ডিশনের উপর সবকিছু নির্ভর করে ট্রিটমেন্ট পাল্টান,হ্যা।,হ্যা।,0
