Name,Specialty,Location,Phone,Email,Vbac,Purdah,Interventions,Presence,Feedback,SentimentScore
ফাতেমা ইয়াসমিন,Obstetrics & Gynecology,"গাজীপুর, শেখ ফজিলাতুন্নেসা মেমোরিয়াল কেপিজে হস্পিটাল, কবিরপুর, সাভার",,,হ্যাঁ,জি,জি। তবে এটা উনার সাথে আগে কথা বলে বার্থ প্ল্যান জানিয়ে দিতে হবে। নয়ত অনেকের জন্যই মেইন্টেইন হবে না। তবে কেউ লেবারে থাকলে তাকে আস্ক করা হয়। ,জি। উনাদ ডিউটি টাইমে উনি প্রেসেন্ট থাকেন। রাতে থাকেন না সাধারনত। তবে কারো পেইন উঠলে উনি ওয়েট করেন ,জি। উনাদ ডিউটি টাইমে উনি প্রেসেন্ট থাকেন। রাতে থাকেন না সাধারনত। তবে কারো পেইন উঠলে উনি ওয়েট করেন ,0
মাহমুদা নাহার রুমা,Obstetrics & Gynecology,"গাজীপুর, গাজিপুর ক্লিনিক",,,না,হ্যা,একান্ত প্রয়োজন হলে করেন না হলে এগুলি দেন না।,একটা বেবির সময় ছিলেন।চেম্বারে থাকলে তখন থাকেন।,একটা বেবির সময় ছিলেন।চেম্বারে থাকলে তখন থাকেন।,0
Dr. Fatema Yesmin,Obstetrics & Gynecology,"গাজীপুর, Sheikh Fazilatunnesa Mujib Memorial KPJ Specialised Hospital",,,হ্যাঁ,Yes,If needed then ,No info,No info,0
Dr foyeza munni,Obstetrics & Gynecology,"গাজীপুর, BRB Our address is 77, Panthapath, Dhaka 1215. (Near Bashundhura City)",,,হ্যাঁ,Yes,If needed ,Yes ,Yes ,0
Dr. Rinku Das,Obstetrics & Gynecology,"চট্টগ্রাম, Innova hospital, Jamalkhan/ Max hospital, Mehedibag",,,জানা নেই,জানা নেই ,গাইডলাইন,হ্যাঁ,হ্যাঁ,0
Dr. Sanjida Kabir,Obstetrics & Gynecology,"চট্টগ্রাম, Evercare hospital Chattogram",,,জানা নেই,No info,No idea. But maybe she follows proper way which is stressfree for a mother,No info,No info,0
মোকাদ্দেস আক্তার বেগম,Obstetrics & Gynecology,"চট্টগ্রাম, মেডিক্যাল সেন্টার,জিইসি",,,জানা নেই,জ্বী আলহামদুলিল্লাহ। ,এপিসিওটমি লাগলে দেন।,জ্বী আলহামদুলিল্লাহ ছিলেন।,জ্বী আলহামদুলিল্লাহ ছিলেন।,0
Dr Shahanara Chowdhury,Obstetrics & Gynecology,"চট্টগ্রাম, Bellevue Chittagong",,,জানা নেই,জ্বি,শুধু প্রয়োজনে,"সব ক্ষেত্রে জানিনা, আমার ক্ষেত্রে ছিলেন","সব ক্ষেত্রে জানিনা, আমার ক্ষেত্রে ছিলেন",0
Hafiza Marjan,Obstetrics & Gynecology,"চট্টগ্রাম, Mother & child care",,,হ্যাঁ,Yes,Both,No info,No info,0
আকলিমা সুলতানা লিজা,Obstetrics & Gynecology,"চট্টগ্রাম, মেডিসন,মেডিকেল সার্ভিস, হাজিপাড়া,আগ্রাবাদ, চট্টগ্রাম",,,হ্যাঁ,জ্বি,জ্বি,জ্বি,জ্বি,0
Dr. Hafiza Marzan,Obstetrics & Gynecology,"চট্টগ্রাম, 1)National hospital,2)mother&child care hospital,3)Shahzalal diagnostic centre",,,হ্যাঁ | না,100% | Yes | Yes,"Yes | According to updated guideline | Pitosin, episiotomy diyechilo amake.",Yes,Yes,0
